Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1/3/17,2017,1,3,Tuesday,1,2017-01,225.04,225.83,223.88,225.24,91366500,200.63,0,200.63,200.63
1/4/17,2017,1,4,Wednesday,1,2017-01,225.62,226.75,225.61,226.58,78744400,201.82,0.00594921,201.225,201.225
1/5/17,2017,1,5,Thursday,1,2017-01,226.27,226.58,225.48,226.4,78379000,201.66,-0.00079453,201.37,201.37
1/6/17,2017,1,6,Friday,1,2017-01,226.53,227.75,225.9,227.21,71559900,202.38,0.003577811,201.6225,201.6225
1/9/17,2017,1,9,Monday,2,2017-02,226.91,227.07,226.42,226.46,46939700,201.72,-0.003300947,201.642,201.642
1/10/17,2017,1,10,Tuesday,2,2017-02,226.48,227.45,226.01,226.46,63771900,201.72,0,201.655,201.655
1/11/17,2017,1,11,Wednesday,2,2017-02,226.36,227.1,225.59,227.1,74650000,202.29,0.002825937,201.7457143,201.7457143
1/12/17,2017,1,12,Thursday,2,2017-02,226.5,226.75,224.96,226.53,72113200,201.78,-0.002509609,201.75,201.75
1/13/17,2017,1,13,Friday,2,2017-02,226.73,227.4,226.69,227.05,62717900,202.24,0.002295487,201.8044444,201.8044444
1/17/17,2017,1,17,Tuesday,3,2017-03,226.31,226.78,225.8,226.25,61240800,201.53,-0.003523581,201.777,201.777
1/18/17,2017,1,18,Wednesday,3,2017-03,226.54,226.8,225.9,226.75,54793300,201.97,0.002209969,201.7945455,201.7945455
1/19/17,2017,1,19,Thursday,3,2017-03,226.84,227,225.41,225.91,66608800,201.23,-0.003704573,201.7475,201.7475
1/20/17,2017,1,20,Friday,3,2017-03,226.7,227.31,225.97,226.74,129168600,201.97,0.003674139,201.7646154,201.7646154
1/23/17,2017,1,23,Monday,4,2017-04,226.74,226.81,225.27,226.15,75061600,201.44,-0.002602215,201.7414286,201.7414286
1/24/17,2017,1,24,Tuesday,4,2017-04,226.4,228.08,226.27,227.6,95555300,202.73,0.006411804,201.8914286,201.8073333
1/25/17,2017,1,25,Wednesday,4,2017-04,228.7,229.57,228.51,229.57,84437700,204.49,0.00865535,202.0821429,201.975
1/26/17,2017,1,26,Thursday,4,2017-04,229.4,229.71,229.01,229.33,59970700,204.27,-0.001045426,202.2685714,202.11
1/27/17,2017,1,27,Friday,4,2017-04,229.42,229.59,228.76,228.97,59711100,203.95,-0.001569557,202.3807143,202.2122222
1/30/17,2017,1,30,Monday,5,2017-05,228.17,228.2,226.41,227.55,79737300,202.69,-0.006201758,202.45,202.2373684
1/31/17,2017,1,31,Tuesday,5,2017-05,226.98,227.6,226.32,227.53,75880800,202.67,-8.79E-05,202.5178571,202.259
2/1/17,2017,2,1,Wednesday,5,2017-05,227.53,228.59,226.94,227.62,79117700,202.75,0.000395493,202.5507143,202.282381
2/2/17,2017,2,2,Thursday,5,2017-05,227.62,228.1,226.82,227.77,69657600,202.88,0.000659121,202.6292857,202.3095455
2/3/17,2017,2,3,Friday,5,2017-05,228.82,229.55,228.46,229.34,80563200,204.28,0.006892818,202.775,202.3952174
2/6/17,2017,2,6,Monday,6,2017-06,228.87,229.33,228.54,228.93,57790100,203.92,-0.001787671,202.9457143,202.45875
2/7/17,2017,2,7,Tuesday,6,2017-06,229.38,229.66,228.72,228.94,57931200,203.93,4.35E-05,203.0857143,202.5176
2/8/17,2017,2,8,Wednesday,6,2017-06,228.94,229.39,228.31,229.24,51566200,204.19,0.001310341,203.2971429,202.5819231
2/9/17,2017,2,9,Thursday,6,2017-06,229.24,230.95,229.24,230.6,65955200,205.4,0.005932611,203.5421429,202.6862963
2/10/17,2017,2,10,Friday,6,2017-06,231,231.77,230.62,231.51,66015900,206.21,0.003946259,203.8828571,202.8121429
2/13/17,2017,2,13,Monday,7,2017-07,232.08,233.07,232.05,232.77,55182100,207.34,0.005442533,204.2121429,202.9682759
2/14/17,2017,2,14,Tuesday,7,2017-07,232.56,233.71,232.16,233.7,71109000,208.17,0.003995428,204.475,203.1416667
2/15/17,2017,2,15,Wednesday,7,2017-07,233.45,235.14,233.39,234.92,86785800,209.25,0.005220372,204.8307143,203.3387097
2/16/17,2017,2,16,Thursday,7,2017-07,234.95,235.16,233.85,234.72,84722400,209.07,-0.000851421,205.1964286,203.5178125
2/17/17,2017,2,17,Friday,7,2017-07,233.95,235.09,233.93,235.09,77204100,209.4,0.001576574,205.6757143,203.6960606
2/21/17,2017,2,21,Tuesday,8,2017-08,235.52,236.69,235.51,236.49,88946100,210.65,0.005955055,206.2457143,203.9005882
2/22/17,2017,2,22,Wednesday,8,2017-08,236.02,236.54,235.83,236.28,62115200,210.46,-0.000887927,206.7964286,204.088
2/23/17,2017,2,23,Thursday,8,2017-08,236.88,236.9,235.56,236.44,74615900,210.61,0.000677231,207.3485714,204.2691667
2/24/17,2017,2,24,Friday,8,2017-08,235.46,236.79,235.41,236.74,82381600,210.87,0.001268777,207.8192857,204.4475676
2/27/17,2017,2,27,Monday,9,2017-09,236.64,237.31,236.35,237.11,56515400,211.2,0.001562687,208.3392857,204.6252632
2/28/17,2017,2,28,Tuesday,9,2017-09,236.67,236.95,236.02,236.47,96961900,210.63,-0.002699153,208.8178571,204.7792308
3/1/17,2017,3,1,Wednesday,9,2017-09,238.39,240.32,238.37,239.78,149158200,213.58,0.013997588,209.4885714,204.99925
3/2/17,2017,3,2,Thursday,9,2017-09,239.56,239.57,238.21,238.27,70246000,212.24,-0.006297311,209.9771429,205.1758537
3/3/17,2017,3,3,Friday,9,2017-09,238.17,238.61,237.73,238.42,81974300,212.37,0.000629372,210.4171429,205.3471429
3/6/17,2017,3,6,Monday,10,2017-10,237.5,238.12,237.01,237.71,55391500,211.74,-0.002977902,210.7314286,205.495814
3/7/17,2017,3,7,Tuesday,10,2017-10,237.36,237.77,236.76,237,65103700,211.1,-0.002986796,210.9407143,205.6231818
3/8/17,2017,3,8,Wednesday,10,2017-10,237.34,237.64,236.4,236.56,78168800,210.71,-0.001856529,211.045,205.7362222
3/9/17,2017,3,9,Thursday,10,2017-10,236.7,237.24,235.74,236.86,90683900,210.98,0.001268423,211.1814286,205.8502174
3/10/17,2017,3,10,Friday,10,2017-10,237.97,238.02,236.59,237.69,81991700,211.72,0.00350385,211.3471429,205.9751064
3/13/17,2017,3,13,Monday,11,2017-11,237.62,237.86,237.24,237.81,57256800,211.83,0.000505072,211.4314286,206.0970833
3/14/17,2017,3,14,Tuesday,11,2017-11,237.18,237.24,236.19,236.9,59880800,211.02,-0.003826758,211.4714286,206.197551
3/15/17,2017,3,15,Wednesday,11,2017-11,237.56,239.44,237.29,238.95,96081800,212.84,0.008653549,211.6307143,206.3304
3/16/17,2017,3,16,Thursday,11,2017-11,239.11,239.2,238.1,238.48,78344000,212.42,-0.00196698,211.7414286,206.5662
3/17/17,2017,3,17,Friday,11,2017-11,237.75,237.97,237.03,237.03,89002100,212.05,-0.001756222,211.8021429,206.7708
